sourcePath,label,href,resolvedPath,classification,status,notes
/blog,Read full article→,/post/keep-firing-yourself-part-2,/post/keep-firing-yourself-part-2,INTERNAL,200,
/blog,,/post/skip-the-ladder-join-a-startup,/post/skip-the-ladder-join-a-startup,INTERNAL,200,
/blog,Skip the Ladder. Join a Startup.,/post/skip-the-ladder-join-a-startup,/post/skip-the-ladder-join-a-startup,INTERNAL,200,
/blog,Read full article→,/post/skip-the-ladder-join-a-startup,/post/skip-the-ladder-join-a-startup,INTERNAL,200,
/blog,,/post/fresh-out-of-college-now-what,/post/fresh-out-of-college-now-what,INTERNAL,200,
/blog,Fresh Out of College… Now What?,/post/fresh-out-of-college-now-what,/post/fresh-out-of-college-now-what,INTERNAL,200,
/blog,Read full article→,/post/fresh-out-of-college-now-what,/post/fresh-out-of-college-now-what,INTERNAL,200,
/blog,,/post/for-professionals-by-professionals,/post/for-professionals-by-professionals,INTERNAL,200,
/blog,"For Professionals, By Professionals",/post/for-professionals-by-professionals,/post/for-professionals-by-professionals,INTERNAL,200,
/blog,Read full article→,/post/for-professionals-by-professionals,/post/for-professionals-by-professionals,INTERNAL,200,
/blog,,/post/pick-your-battles,/post/pick-your-battles,INTERNAL,200,
/blog,Pick Your Battles,/post/pick-your-battles,/post/pick-your-battles,INTERNAL,200,
/blog,Read full article→,/post/pick-your-battles,/post/pick-your-battles,INTERNAL,200,
/blog,,/post/make-it-memorable,/post/make-it-memorable,INTERNAL,200,
/blog,Make It Memorable,/post/make-it-memorable,/post/make-it-memorable,INTERNAL,200,
/blog,Read full article→,/post/make-it-memorable,/post/make-it-memorable,INTERNAL,200,
/blog,,/post/your-perception-is-your-reality,/post/your-perception-is-your-reality,INTERNAL,200,
/blog,Your Perception Is Your Reality,/post/your-perception-is-your-reality,/post/your-perception-is-your-reality,INTERNAL,200,
/blog,Read full article→,/post/your-perception-is-your-reality,/post/your-perception-is-your-reality,INTERNAL,200,
/blog,,/post/make-complex-simple,/post/make-complex-simple,INTERNAL,200,
/blog,Make Complex Simple,/post/make-complex-simple,/post/make-complex-simple,INTERNAL,200,
/blog,Read full article→,/post/make-complex-simple,/post/make-complex-simple,INTERNAL,200,
/blog,,/post/10-better-or-dont-bother,/post/10-better-or-dont-bother,INTERNAL,200,
/blog,10% Better or Don’t Bother,/post/10-better-or-dont-bother,/post/10-better-or-dont-bother,INTERNAL,200,
/blog,Read full article→,/post/10-better-or-dont-bother,/post/10-better-or-dont-bother,INTERNAL,200,
/blog,,/post/the-disruption,/post/the-disruption,INTERNAL,200,
/blog,The Disruption,/post/the-disruption,/post/the-disruption,INTERNAL,200,
/blog,Read full article→,/post/the-disruption,/post/the-disruption,INTERNAL,200,
/blog,,/post/the-personal-belief-vs-ai-paradox,/post/the-personal-belief-vs-ai-paradox,INTERNAL,200,
/blog,The Personal Belief vs. AI Paradox,/post/the-personal-belief-vs-ai-paradox,/post/the-personal-belief-vs-ai-paradox,INTERNAL,200,
/blog,Read full article→,/post/the-personal-belief-vs-ai-paradox,/post/the-personal-belief-vs-ai-paradox,INTERNAL,200,
/blog,,/post/straight-line-thinking,/post/straight-line-thinking,INTERNAL,200,
/blog,Straight Line Thinking,/post/straight-line-thinking,/post/straight-line-thinking,INTERNAL,200,
/blog,Read full article→,/post/straight-line-thinking,/post/straight-line-thinking,INTERNAL,200,
/blog,,/post/the-builders-will-survive,/post/the-builders-will-survive,INTERNAL,200,
/blog,The Builders Will Survive,/post/the-builders-will-survive,/post/the-builders-will-survive,INTERNAL,200,
/blog,Read full article→,/post/the-builders-will-survive,/post/the-builders-will-survive,INTERNAL,200,
/blog,,/post/the-age-of-agi,/post/the-age-of-agi,INTERNAL,200,
/blog,The Age of AGI,/post/the-age-of-agi,/post/the-age-of-agi,INTERNAL,200,
/blog,Read full article→,/post/the-age-of-agi,/post/the-age-of-agi,INTERNAL,200,
/blog,,/post/youre-not-ready-for-whats-coming,/post/youre-not-ready-for-whats-coming,INTERNAL,200,
/blog,You’re Not Ready for What’s Coming,/post/youre-not-ready-for-whats-coming,/post/youre-not-ready-for-whats-coming,INTERNAL,200,
